Index,Time,Latitude,Longitude,Height,Elevation,Azimuth,Distance,dElev,dAz,Elev Steps,Az Steps
1021,102983,-35.29733306848186,-74.63499692510076,389.89316082280465,7.7048127289395625,262.12079637360125,1565.4776835464831,0.009514361318274211,-0.0016706671918313987,0,0
1022,103082,-35.297867409653215,-74.627487305906,389.8937193310961,7.714332653606185,262.11912441100844,1564.799779670323,0.009519924666622437,-0.0016719625928089954,1,1
1023,103183,-35.29840123242734,-74.61997758383089,389.8942776194399,7.723858148696275,262.11745115120897,1564.1218919766875,0.00952549509008982,-0.0016732597994746357,0,0
1024,103282,-35.29893453678796,-74.61246775896035,389.8948356878228,7.733389221322332,262.11577659239305,1563.444020493304,0.009531072626057124,-0.0016745588159210456,0,0
1025,103382,-35.29946732271833,-74.60495783139478,389.89539353622865,7.742925878588887,262.1141007327487,1562.7661652493548,0.009536657266554727,-0.0016758596443651186,0,0
1026,103483,-35.29999959020159,-74.59744780124055,389.8959511646453,7.752468127605046,262.1124235704606,1562.088326274596,0.00954224901615941,-0.0016771622881037729,0,0
1027,103582,-35.300531339221365,-74.5899376685834,389.89650857306145,7.762015975517618,262.1107451037095,1561.4105035969608,0.009547847912571683,-0.0016784667510592044,1,0
1028,103683,-35.30106256976102,-74.58242743353021,389.89706576146006,7.771569429458677,262.1090653306726,1560.732697246343,0.009553453941059331,-0.0016797730369262354,0,0
1029,103782,-35.30159328180404,-74.57491709616971,389.89762272983387,7.781128496594968,262.10738424952433,1560.054907251057,0.009559067136290622,-0.0016810811482628196,0,0
1030,103882,-35.302123475333914,-74.5674066566034,389.89817947816476,7.790693184088984,262.10570185843505,1559.3771336405887,0.00956468749401651,-0.0016823910892753702,0,0
1031,103983,-35.30265315033384,-74.55989611492839,389.89873600644046,7.80026349912068,262.10401815557327,1558.6993764440924,0.00957031503169592,-0.0016837028617828764,0,0
1032,104082,-35.303182306787676,-74.55238547124283,389.89929231464384,7.8098394488807115,262.10233313910123,1558.021635690845,0.0095759497600314,-0.0016850164720381144,1,0
1033,104183,-35.30371094467855,-74.54487472564313,389.8998484027718,7.819421040573905,262.10064680718114,1557.3439114100354,0.009581591693193836,-0.0016863319200979277,0,0
1034,104282,-35.30423906399023,-74.53736387822558,389.90040427080606,7.829008281417031,262.098959157969,1556.66620363087,0.009587240843125677,-0.0016876492121582487,0,0
1035,104382,-35.304766664706115,-74.52985292909074,389.90095991872846,7.838601178633534,262.0972701896188,1555.9885123829868,0.00959289721650336,-0.0016889683501517538,0,0
1036,104483,-35.305293746809866,-74.52234187833264,389.90151534652875,7.84819973946739,262.09557990028065,1555.3108376954856,0.009598560833855352,-0.0016902893381711692,0,0
